1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,21,,23,24,,,27,28,29,30,31,32,33,
41624,,Smart Seal 71oz Square Canister - Black Lid,SM,Smart Seal,Smart Seal,71oz,Square,Black,,,Neoflam,12,,,,,,,,,,,,,,,1.43,1.43,,,,,
41625,,Smart Seal 91oz Square Canister - Black Lid,SM,Smart Seal,Smart Seal,91oz,Square,Black,,,Neoflam,8,,,,,,,,,,,,,,,1.63,1.63,,,,,
41626,,Smart Seal 25oz Rectangular Canister - Black Lid,SM,Smart Seal,Smart Seal,25oz,Rectangular,Black,,,Neoflam,24,,,,,,,,,,,,,,,1.09,1.12,,,,,
41627,,Smart Seal 59oz Rectangular Canister - Black Lid,SM,Smart Seal,Smart Seal,59oz,Rectangular,Black,,,Neoflam,12,,,,,,,,,,,,,,,1.37,1.37,,,,,
41628,,Smart Seal 91oz Rectangular Canister - Black Lid,SM,Smart Seal,Smart Seal,91oz,Rectangular,Black,,,Neoflam,12,,,,,,,,,,,,,,,1.54,1.54,,,,,
41629,,Smart Seal 122oz Rectangular Canister - Black Lid,SM,Smart Seal,Smart Seal,122oz,Rectangular,Black,,,Neoflam,8,,,,,,,,,,,,,,,1.85,1.85,,,,,
41662,,"Eden - Flutto Poly 8"" x 11"" Cutting board White/ Green",Flutto,Cutting Board,,,,,,,Neoflam,12,,,,,,,,,,,,,,,1.61,1.61,,,,,
41663,,"Eden - Flutto Poly 10"" x 14.5"" Cutting board White/ Green",Flutto,Cutting Board,,,,,,,Neoflam,12,,,,,,,,,,,,,,,2.35,2.35,,,,,
41664,,"Eden Flutto Poly 12"" x 17.5"" Cutting board White/ Green",Flutto,Cutting Board,,,,,,,Neoflam,12,,,,,,,,,,,,,,,3.65,3.65,,,,,
41705,,Solimo 5pc Food storage set w/Pump - B07GXFWCJX,Solimo,Food Storage,,,,,,,Neoflam,1,,,,,,,,,,,,,,,4.89,4.89,,,,,
41798,,Solimo 6 pc Food storage set (1L)-B07GWVHX43,Solimo,Food Storage,,,,,,,Neoflam,6,,,,,,,,,,,,,,,3.11,3.11,,,,,
41799,,Solimo 3pc Food storage set (1.2L)-B07GWVV81K,Solimo,Food Storage,,,,,,,Neoflam,6,,,,,,,,,,,,,,,3.78,3.78,,,,,
41801,,Solimo 3pc Food storage Set (0.8L)-B07GWSRD7F,Solimo,Food Storage,,,,,,,Neoflam,6,,,,,,,,,,,,,,,3.06,3.06,,,,,
41959,,Neoflam Smart Seal 4pc set w/ Tritan Red (K49565 172 000),TCS,Smart Seal,,,,,,,Neoflam,12,,,,,,,,,,,,,,,6.85,6.85,,,,,
42061,,French Bull Mosaic Round Rimmed Lazy Susans - Set of 2,,Tableware,,,,,,,French Bull,2,,,,,,,,,,,,,,,7.14,7.14,,,,,
42062,,French Bull Beady Rimmed Lazy Susans - Set of 2,,Tableware,,,,,,,French Bull,2,,,,,,,,,,,,,,,7.14,7.14,,,,,
42063,,French Bull Palais Rose Rimmed Lazy Susans - Set of 2,,Tableware,,,,,,,French Bull,2,,,,,,,,,,,,,,,7.14,7.14,,,,,
42064,,French Bull Blue OmbrA?A??? Rimmed Lazy Susans - Set of 2,,Tableware,,,,,,,French Bull,2,,,,,,,,,,,,,,,7.14,7.14,,,,,
42076,,3pc Cutting Board Set - Vol (252607),,Cutting Board,,,,,,,Neoflam,6,,,,,,,,,,,,,,,6.36,6.36,,,,,
42079,,Smart Seal 1.5QT /1.35L Square Canister w/ Black Lid,SM,Smart Seal,Smart Seal,,Square,Black,,,Neoflam,6,,,,,,,,,,,,,,,1.36,1.36,,,,,
42080,,Smart Seal 2.2QT /2.1L Square Canister w/ Black Lid,SM,Smart Seal,Smart Seal,,Square,Black,,,Neoflam,6,,,,,,,,,,,,,,,1.6,1.6,,,,,
42081,,Smart Seal 3.0QT /2.7L Square Canister w/ Black Lid,SM,Smart Seal,Smart Seal,,Square,Black,,,Neoflam,6,,,,,,,,,,,,,,,1.82,1.82,,,,,
42082,,Smart Seal1.9 QT /1.75L Rectangular Canister Red w/ Black Lid,SM,Smart Seal,Smart Seal,,Rectangular,,,,Neoflam,6,,,,,,,,,,,,,,,1.55,1.55,,,,,
42083,,Smart Seal 2.9 QT /2.7L Rectangular Canister w/ Black Lid,SM,Smart Seal,Smart Seal,,Rectangular,,,,Neoflam,6,,,,,,,,,,,,,,,1.73,1.73,,,,,
42084,,Smart Seal 3.8QT /3.6L Rectangular Canister Red w/ Black Lid,SM,Smart Seal,Smart Seal,,Rectangular,,,,Neoflam,6,,,,,,,,,,,,,,,2.05,2.05,,,,,
42091,,Smart Seal 0.6L Square (SM-AQ-S11) 10084049,SM,Smart Seal,Smart Seal,,Square,,,,Neoflam,8,,,,,,,,,,,,,,,1.27,1.27,,,,,
42092,,Smart Seal 0.9L Square Large (SM-AQ-M21) 10084050,SM,Smart Seal,Smart Seal,,Square,,,,Neoflam,8,,,,,,,,,,,,,,,1.62,1.62,,,,,
42093,,Smart Seal 2.2L Square Large (SM-AQ-M22) 10084051,SM,Smart Seal,Smart Seal,,Square,,,,Neoflam,8,,,,,,,,,,,,,,,1.89,1.89,,,,,
42094,,Smart Seal 3.3L Square Large (SM-AQ-M23) 10084052,SM,Smart Seal,Smart Seal,,Square,,,,Neoflam,8,,,,,,,,,,,,,,,2.17,2.17,,,,,
42095,,Smart Seal 4.5L Square Large (SM-AQ-M24) 10084053,SM,Smart Seal,Smart Seal,,Square,,,,Neoflam,8,,,,,,,,,,,,,,,2.47,2.47,,,,,
42114,,Neoflam 5pc Japanese knife set,,Kitchen Tool,,,,,,,Neoflam,8,,,,,,,,,,,,,,,5.73,5.73,,,,,
42116,,Neoflam 4pc knife set with PP knife block,,Kitchen Tool,,,,,,,Neoflam,6,,,,,,,,,,,,,,,1.55,1.55,,,,,
42118,,4pc Ringo Smart Seal Square Set,SM Ringo,Smart Seal,Smart Seal 4pc Set,,Squre,White,,,Neoflam,8,,,,,,,,,,,,,,,2.05,2.05,,,,,
42119,,Smart Seal 47.3oz (1.4L) Square Canister w/ Gray Lid,SM,Smart Seal,Smart Seal,,Squre,Gray,,,Neoflam,6,,,,,,,,,,,,,,,1.36,1.36,,,,,
42120,,Smart Seal 71oz (2.1L) Square Canister w/ Gray Lid,SM,Smart Seal,Smart Seal,,Squre,Gray,,,Neoflam,6,,,,,,,,,,,,,,,1.6,1.6,,,,,
42121,,Smart Seal 94.6oz (2.8L) Square Canister w/ Gray Lid,SM,Smart Seal,Smart Seal,,Squre,Gray,,,Neoflam,6,,,,,,,,,,,,,,,1.82,1.82,,,,,
42122,,Smart Seal 61oz (1.8L) Rectangular Canister w/ Gray Lid,SM,Smart Seal,Smart Seal,,Rectangular,Gray,,,Neoflam,6,,,,,,,,,,,,,,,1.55,1.55,,,,,
42123,,Smart Seal 95oz (2.8L) Rectangular Canister w/ Gray Lid,SM,Smart Seal,Smart Seal,,Rectangular,Gray,,,Neoflam,6,,,,,,,,,,,,,,,1.73,1.73,,,,,
42124,,Smart Seal 122oz (3.6L)Rectangular Canister Red w/ Gray Lid,SM,Smart Seal,Smart Seal,,Rectangular,Gray,,,Neoflam,6,,,,,,,,,,,,,,,2.05,2.05,,,,,
42126,,Lusso 3pc Cutting Board Set in Green (with Paddle),,Cutting Board,,,,,,,Neoflam,6,,,,,,,,,,,,,,,7.83,7.83,,,,,
42127,,Lusso 3pc Cutting Board Set in Blue (with Paddle),,Cutting Board,,,,,,,Neoflam,6,,,,,,,,,,,,,,,7.83,7.83,,,,,
42128,,Small 24oz Modular Canister - White Lid (10088824),,Canister,,,,,,,Neoflam,8,,,,,,,,,,,,,,,1.22,1.22,,,,,
42129,,Medium 54oz Modular Canister - White Lid (10088825),,Canister,,,,,,,Neoflam,8,,,,,,,,,,,,,,,1.5,1.5,,,,,
42130,,Large 84oz Modular Canister - White Lid (10088826),,Canister,,,,,,,Neoflam,8,,,,,,,,,,,,,,,1.82,1.82,,,,,
42132,,Neoflam 3pc Cutting Board- L/M/S Pink Light Blue Purple (302602),,Cutting Board,,,,,,,Neoflam,10,,,,,,,,,,,,,,,7.14,7.14,,,,,
42133,,Neoflam 3pc Cutting Board- L/M/S Light Ivory Light Green Light Yellow (302602),,Cutting Board,,,,,,,Neoflam,10,,,,,,,,,,,,,,,7.14,7.14,,,,,
42134,,Smart Seal 46oz Square Canister - White Lid,SM,Smart Seal,Smart Seal,46oz,Squre,White,,,Neoflam,6,,,,,,,,,,,,,,,1.21,1.21,,,,,
42135,,Smart Seal 71oz Square Canister - White Lid,SM,Smart Seal,Smart Seal,71oz,Squre,White,,,Neoflam,6,,,,,,,,,,,,,,,1.43,1.43,,,,,
42136,,Smart Seal 91oz Square Canister - White Lid,SM,Smart Seal,Smart Seal,91oz,Squre,White,,,Neoflam,6,,,,,,,,,,,,,,,1.63,1.63,,,,,
42137,,Smart Seal 59oz Rectangular Canister - White Lid,SM,Smart Seal,Smart Seal,59oz,Rectangular,White,,,Neoflam,6,,,,,,,,,,,,,,,1.37,1.37,,,,,
42138,,Smart Seal 91oz Rectangular Canister - White Lid,SM,Smart Seal,Smart Seal,91oz,Rectangular,White,,,Neoflam,6,,,,,,,,,,,,,,,1.54,1.54,,,,,
42139,,Smart Seal 122oz Rectangular Canister - White Lid,SM,Smart Seal,Smart Seal,122oz,Rectangular,White,,,Neoflam,6,,,,,,,,,,,,,,,1.85,1.85,,,,,
42146,,Neoflam 3pc Cutting board-Large Medium & Small with Microban protection,,Cutting Board,,,,,,,Neoflam,10,,,,,,,,,,,,,,,8.29,8.29,,,,,
42148,,Neoflam Cutting Board Display - Clave S/M/L,,Cutting Board,,,,,,,Neoflam,1,,,,,,,,,,,,,,,64.14,64.14,,,,,
42149,,Small 24oz Modular Canister - Graphite Lid (10088827),,Canister,,,,,,,Neoflam,8,,,,,,,,,,,,,,,1.22,1.22,,,,,
42150,,Medium 54oz Modular Canister - Graphite Lid (10088828),,Canister,,,,,,,Neoflam,8,,,,,,,,,,,,,,,1.5,1.5,,,,,
42151,,Large 84oz Modular Canister - Graphite Lid (10088829),,Canister,,,,,,,Neoflam,8,,,,,,,,,,,,,,,1.82,1.82,,,,,
42152,,Click Glass FS Small Rectangular WHITE,Clik Glass,Food Storage,,,,,,,Neoflam,8,,,,,,,,,,,,,,,1.22,1.22,,,,,
42153,,Click Glass FS Medium Rectangular WHITE,Clik Glass,Food Storage,,,,,,,Neoflam,8,,,,,,,,,,,,,,,1.69,1.69,,,,,
42154,,Click Glass FS Large Rectangular WHITE,Clik Glass,Food Storage,,,,,,,Neoflam,8,,,,,,,,,,,,,,,2.14,2.14,,,,,
42155,,Click Glass FS X Large Rectangular WHITE,Clik Glass,Food Storage,,,,,,,Neoflam,8,,,,,,,,,,,,,,,3.14,3.14,,,,,
42156,,Click Glass FS Small Round GRAPHITE,Clik Glass,Food Storage,,,,,,,Neoflam,8,,,,,,,,,,,,,,,1.05,1.05,,,,,
42157,,Click Glass FS Medium Round GRAPHITE,Clik Glass,Food Storage,,,,,,,Neoflam,8,,,,,,,,,,,,,,,1.47,1.47,,,,,
42158,,Click Glass FS Large Round GRAPHITE,Clik Glass,Food Storage,,,,,,,Neoflam,8,,,,,,,,,,,,,,,2.27,2.27,,,,,
42159,,Click Glass FS X-Large Round GRAPHITE,Clik Glass,Food Storage,,,,,,,Neoflam,8,,,,,,,,,,,,,,,2.96,2.96,,,,,
42160,,Neoflam Ringo 7PC set P72 Smart Seal Canister - Yellow,,Smart Seal,,,,,,,Neoflam,10,,,,,,,,,,,,,,,11.53,11.53,,,,,
42161,,Neoflam Ringo 7PC set P72 Smart Seal Canister - Dark Grey,,Smart Seal,,,,,,,Neoflam,10,,,,,,,,,,,,,,,9.49,9.49,,,,,
42162,,Neoflam 3pc Cutting Board - L/M/S Cocoa (L) Pink Coral(M) Grey(S) (302602),,Smart Seal,,,,,,,Neoflam,10,,,,,,,,,,,,,,,7.14,7.14,,,,,
42163,,Neoflam 3pc Cutting Board- L/M/S Light Green(L) Light Yellow(M) Sky-blue(S) (302602),,Smart Seal,,,,,,,Neoflam,10,,,,,,,,,,,,,,,7.14,7.14,,,,,
42164,,4pc Clik Glass FS Set - Rectangular,,Food Storage,,,,,,,Neoflam,4,,,,,,,,,,,,,,,7.91,7.91,,,,,
42165,,Smart Seal 20.2oz (0.6L) Square Canister w/ Black Lid,SM,Smart Seal,,19oz,Sqaure,Black,,,Neoflam,6,,,,,,,,,,,,,,,1.14,1.14,,,,,
42166,,Smart Seal 0.8qt (0.84L) Rectangular Canister Red w/ Black Lid,SM,Smart Seal,,25oz,Rectangular,Black,,,Neoflam,6,,,,,,,,,,,,,,,1.28,1.28,,,,,
42168,,Smart Seal 47.3oz (1.4L) Square Canister w/ Blue Lid,SM,Smart Seal,,46oz,Sqaure,Blue,,,Neoflam,6,,,,,,,,,,,,,,,1.36,1.36,,,,,
42169,,Smart Seal 71oz (2.1L) Square Canister w/ Blue Lid,SM,Smart Seal,,71oz,Sqaure,Blue,,,Neoflam,6,,,,,,,,,,,,,,,1.6,1.6,,,,,
42170,,Smart Seal 94.6oz (2.8L) Square Canister w/ Blue Lid,SM,Smart Seal,,91oz,Sqaure,Blue,,,Neoflam,6,,,,,,,,,,,,,,,1.82,1.82,,,,,
42172,,Smart Seal 60.9oz (1.8L) Rectangular Canister w/ Blue Lid,SM,Smart Seal,,59oz,Rectangular,Blue,,,Neoflam,6,,,,,,,,,,,,,,,1.55,1.55,,,,,
42173,,Smart Seal 94.7oz (2.8L) Rectangular Canister w/ Blue Lid,SM,Smart Seal,,91oz,Rectangular,Blue,,,Neoflam,6,,,,,,,,,,,,,,,1.73,1.73,,,,,
42174,,Smart Seal 3.8QT(3.6L) Rectangular Canister w/ Blue Lid,SM,Smart Seal,,122oz,Rectangular,Blue,,,Neoflam,6,,,,,,,,,,,,,,,2.05,2.05,,,,,
42175,,Neoflam Cutting Board 3PC (#236004),Clave,Cutting Board,,,,,,,Neoflam,10,,,,,,,,,,,,,,,7.88,7.88,,,,,
42180,,Smart Seal 20.2oz (0.6L) Square Canister w/ Blue Lid,SM,Smart Seal,,19oz,Sqaure,Blue,,,Neoflam,24,,,,,,,,,,,,,,,1.02,1.02,,,,,
42181,,Smart Seal 47.3oz (1.4L) Square Canister w/ Blue Lid,SM,Smart Seal,,25oz,Sqaure,Blue,,,Neoflam,12,,,,,,,,,,,,,,,1.21,1.21,,,,,
42182,,Smart Seal 71oz (2.1L) Square Canister w/ Blue Lid,SM,Smart Seal,,46oz,Sqaure,Blue,,,Neoflam,12,,,,,,,,,,,,,,,1.43,1.43,,,,,
42183,,Smart Seal 94.6oz (2.8L) Square Canister w/ Blue Lid,SM,Smart Seal,,71oz,Sqaure,Blue,,,Neoflam,8,,,,,,,,,,,,,,,1.63,1.63,,,,,
42184,,Smart Seal 28.4oz (0.84L) Rectangular Canister w/ Blue Lid,SM,Smart Seal,,91oz,Rectangular,Blue,,,Neoflam,24,,,,,,,,,,,,,,,1.12,1.12,,,,,
42185,,Smart Seal 60.9oz (1.8L) Rectangular Canister w/ Blue Lid,SM,Smart Seal,,59oz,Rectangular,Blue,,,Neoflam,12,,,,,,,,,,,,,,,1.37,1.37,,,,,
42186,,Smart Seal 94.7oz (2.8L) Rectangular Canister w/ Blue Lid,SM,Smart Seal,,91oz,Rectangular,Blue,,,Neoflam,12,,,,,,,,,,,,,,,1.54,1.54,,,,,
42187,,Smart Seal 3.8QT (3.6L) Rectangular Canister w/ Blue Lid,SM,Smart Seal,,122oz,Rectangular,Blue,,,Neoflam,8,,,,,,,,,,,,,,,1.85,1.85,,,,,
42191,,Neoflam Cutting Boards Marble 3pc,,Cutting Board,,,,,,,Neoflam,10,,,,,,,,,,,,,,,8.43,8.43,,,,,
42193,,Neoflam 3pk poly cutting boards with microband,,Cutting Board,,,,,,,Neoflam,10,,,,,,,,,,,,,,,8.23,8.23,,,,,
42194,,Neoflam Clave Chopping Board 3 Piece Set (#302602),Clave,Cutting Board,,,,,,,Neoflam,10,,,,,,,,,,,,,,,7.18,7.18,,,,,
42195,,Neoflam Stainless Steel Food Storage (#1785483),SS FS,Food Storage,,,,,,,Neoflam,10,,,,,,,,,,,,,,,10.86,10.86,,,,,
42196,,Neoflam 3pc VOL Cutting board-Large Medium & Small,,Cutting Board,,,,,,,Neoflam,1,,,,,,,,,,,,,,,6.63,6.63,,,,,
42212,,Smart Seal 46oz Square Canister - Green Lid Gray Handle,SM,Smart Seal,,46oz,,Green,,,Neoflam,6,,,,,,,,,,,,,,,1.21,1.21,,,,,
42213,,Smart Seal 71oz Square Canister - Green Lid Gray Handle,SM,Smart Seal,,71oz,,Green,,,Neoflam,6,,,,,,,,,,,,,,,1.43,1.43,,,,,
42214,,Smart Seal 91oz Square Canister - Green Lid Gray Handle,SM,Smart Seal,,91oz,,Green,,,Neoflam,6,,,,,,,,,,,,,,,1.63,1.63,,,,,
42215,,Smart Seal 28.4oz(0.84L) Rectangular Canister w/Green/gray Lid,SM,Smart Seal,,25oz,,Green,,,Neoflam,6,,,,,,,,,,,,,,,1.28,1.28,,,,,
42216,,Smart Seal 59oz Rectangular Canister - Green Lid Gray Handle,SM,Smart Seal,,59oz,,Green,,,Neoflam,6,,,,,,,,,,,,,,,1.37,1.37,,,,,
42217,,Smart Seal 91oz Rectangular Canister - Green Lid Gray Handle,SM,Smart Seal,,91oz,,Green,,,Neoflam,6,,,,,,,,,,,,,,,1.54,1.54,,,,,
42218,,Smart Seal 122oz Rectangular Canister - Green Lid Gray Handle,SM,Smart Seal,,122oz,,Green,,,Neoflam,6,,,,,,,,,,,,,,,1.85,1.85,,,,,
42221,,Cloc Glass 11oz Square Food Storage Orange,Cloc Glass,Food Storage,Food Storage,11oz,Square,Orange,,,Neoflam,24,,,,,,,,,,,,,,,0.55,0.55,,,,,
42222,,Cloc Glass 17oz Square Food Storage Orange,Cloc Glass,Food Storage,Food Storage,17oz,Square,Orange,,,Neoflam,24,,,,,,,,,,,,,,,0.67,0.67,,,,,
42224,,Cloc Glass 12oz Rectangular Food Storage Orange,Cloc Glass,Food Storage,Food Storage,12oz,Rectangular,Orange,,,Neoflam,24,,,,,,,,,,,,,,,0.63,0.63,,,,,
42225,,Cloc Glass 21oz Rectangular Food Storage Orange,Cloc Glass,Food Storage,Food Storage,21oz,Rectangular,Orange,,,Neoflam,24,,,,,,,,,,,,,,,0.81,0.81,,,,,
42226,,Cloc Glass 34oz Rectangular Food Storage Orange,Cloc Glass,Food Storage,Food Storage,34oz,Rectangular,Orange,,,Neoflam,12,,,,,,,,,,,,,,,1.09,1.09,,,,,
42227,,Cloc Glass 51oz Rectangular Food Storage Orange,Cloc Glass,Food Storage,Food Storage,51oz,Rectangular,Orange,,,Neoflam,12,,,,,,,,,,,,,,,1.37,1.37,,,,,
42231,,Cloc Glass 11oz Square Food Storage Pink,Cloc Glass,Food Storage,Food Storage,11oz,Square,Pink,,,Neoflam,24,,,,,,,,,,,,,,,0.55,0.55,,,,,
42232,,Cloc Glass 17oz Square Food Storage Pink,Cloc Glass,Food Storage,Food Storage,17oz,Square,Pink,,,Neoflam,24,,,,,,,,,,,,,,,0.67,0.67,,,,,
42233,,Cloc Glass 27oz Square Food Storage Pink,Cloc Glass,Food Storage,Food Storage,27oz,Square,Pink,,,Neoflam,24,,,,,,,,,,,,,,,0.9,0.9,,,,,
42238,,Glass Food Storage with Wood Lid - SQ-M,,Food Storage,,,,,,,Neoflam,12,,,,,,,,,,,,,,,1.54,1.54,,,,,
42239,,Glass Food Storage with Bamboo Lid - SQ - L,,Food Storage,,,,,,,Neoflam,12,,,,,,,,,,,,,,,1.84,1.84,,,,,
42280,,Cloc Glass 11oz Square Food Storage Emerald,Cloc Glass,Food Storage,Food Storage,11oz,Square,Emerald,,,Neoflam,24,,,,,,,,,,,,,,,0.55,0.55,,,,,
42281,,Cloc Glass 17oz Square Food Storage Emerald,Cloc Glass,Food Storage,Food Storage,17oz,Square,Emerald,,,Neoflam,24,,,,,,,,,,,,,,,0.67,0.67,,,,,
42282,,Cloc Glass 27oz Square Food Storage Emerald,Cloc Glass,Food Storage,Food Storage,27oz,Square,Emerald,,,Neoflam,24,,,,,,,,,,,,,,,0.9,0.9,,,,,
42283,,Cloc Glass 12oz Rectangular Food Storage Emerald,Cloc Glass,Food Storage,Food Storage,12oz,Rectangular,Emerald,,,Neoflam,24,,,,,,,,,,,,,,,0.63,0.63,,,,,
42284,,Cloc Glass 21oz Rectangular Food Storage Emerald,Cloc Glass,Food Storage,Food Storage,21oz,Rectangular,Emerald,,,Neoflam,24,,,,,,,,,,,,,,,0.81,0.81,,,,,
42285,,Cloc Glass 34oz Rectangular Food Storage Emerald,Cloc Glass,Food Storage,Food Storage,34oz,Rectangular,Emerald,,,Neoflam,12,,,,,,,,,,,,,,,1.09,1.09,,,,,
42286,,Cloc Glass 51oz Rectangular Food Storage Emerald,Cloc Glass,Food Storage,Food Storage,51oz,Rectangular,Emerald,,,Neoflam,12,,,,,,,,,,,,,,,1.37,1.37,,,,,
42291,,Smart Seal 20.2oz (0.6L) C-moa Square Canister,SM C-Moa,Smart Seal,Smart Seal,19oz,Square,Clear,,,Neoflam,24,,,,,,,,,,,,,,,1.02,1.02,,,,,
42292,,Smart Seal 47.3oz (1.4L) C-moa Square Canister,SM C-Moa,Smart Seal,Smart Seal,46oz,Square,Clear,,,Neoflam,12,,,,,,,,,,,,,,,1.21,1.21,,,,,
42293,,Smart Seal 71oz (2.1L) C-moa Square Canister,SM C-Moa,Smart Seal,Smart Seal,71oz,Square,Clear,,,Neoflam,12,,,,,,,,,,,,,,,1.43,1.43,,,,,
42294,,Smart Seal 94.6oz (2.8L) C-moa Square Canister,SM C-Moa,Smart Seal,Smart Seal,91oz,Square,Clear,,,Neoflam,8,,,,,,,,,,,,,,,1.63,1.63,,,,,
42295,,Smart Seal 28.4oz (0.84L) C-moa Rectangular Canister,SM C-Moa,Smart Seal,Smart Seal,25oz,Rectangular,Clear,,,Neoflam,24,,,,,,,,,,,,,,,1.12,1.12,,,,,
42296,,Smart Seal 60.9oz (1.8L) C-moa Rectangular Canister,SM C-Moa,Smart Seal,Smart Seal,59oz,Rectangular,Clear,,,Neoflam,12,,,,,,,,,,,,,,,1.37,1.37,,,,,
42297,,Smart Seal 94.7oz (2.8L) C-moa Rectangular Canister,SM C-Moa,Smart Seal,Smart Seal,91oz,Rectangular,Clear,,,Neoflam,12,,,,,,,,,,,,,,,1.54,1.54,,,,,
42298,,Smart Seal 3.8QT (3.6L) C-moa Rectangular Canister,SM C-Moa,Smart Seal,Smart Seal,122oz,Rectangular,Clear,,,Neoflam,8,,,,,,,,,,,,,,,1.85,1.85,,,,,
42311,,Cloc Glass 11oz Square Food Storage Orange Rust,Cloc Glass,Food Storage,Food Storage,11oz,Square,Orange Rust,,,Neoflam,24,,,,,,,,,,,,,,,0.55,0.55,,,,,
42312,,Cloc Glass 17oz Square Food Storage Orange Rust,Cloc Glass,Food Storage,Food Storage,17oz,Square,Orange Rust,,,Neoflam,24,,,,,,,,,,,,,,,0.67,0.67,,,,,
42313,,Cloc Glass 27oz Square Food Storage Orange Rust,Cloc Glass,Food Storage,Food Storage,27oz,Square,Orange Rust,,,Neoflam,24,,,,,,,,,,,,,,,0.9,0.9,,,,,
42314,,Cloc Glass 12oz Rectangular Food Storage Orange Rust,Cloc Glass,Food Storage,Food Storage,12oz,Rectangular,Orange Rust,,,Neoflam,24,,,,,,,,,,,,,,,0.63,0.63,,,,,
42316,,Cloc Glass 34oz Rectangular Food Storage Orange Rust,Cloc Glass,Food Storage,Food Storage,34oz,Rectangular,Orange Rust,,,Neoflam,12,,,,,,,,,,,,,,,1.09,1.09,,,,,
42321,,Cloc Glass 11oz Square Food Storage Pesto,Cloc Glass,Food Storage,Food Storage,11oz,Square,Pesto,,,Neoflam,24,,,,,,,,,,,,,,,0.55,0.55,,,,,
42322,,Cloc Glass 17oz Square Food Storage Pesto,Cloc Glass,Food Storage,Food Storage,17oz,Square,Pesto,,,Neoflam,24,,,,,,,,,,,,,,,0.67,0.67,,,,,
42323,,Cloc Glass 27oz Square Food Storage Pesto,Cloc Glass,Food Storage,Food Storage,27oz,Square,Pesto,,,Neoflam,24,,,,,,,,,,,,,,,0.9,0.9,,,,,
